"location_name","location","indicator","year_week","value","source"
"Austria","AT","deaths","2021-25",19,"TESSy COVID-19"
"Austria","AT","deaths","2021-26",24,"TESSy COVID-19"
"Austria","AT","deaths","2021-27",12,"TESSy COVID-19"
"Austria","AT","deaths","2021-28",14,"TESSy COVID-19"
"Austria","AT","deaths","2021-29",16,"TESSy COVID-19"
"Austria","AT","deaths","2021-30",15,"TESSy COVID-19"
"Austria","AT","deaths","2021-31",19,"TESSy COVID-19"
"Austria","AT","deaths","2021-32",16,"TESSy COVID-19"
"Austria","AT","deaths","2021-33",13,"TESSy COVID-19"
"Austria","AT","deaths","2021-34",34,"TESSy COVID-19"
"Austria","AT","deaths","2021-35",44,"TESSy COVID-19"
"Austria","AT","deaths","2021-36",51,"TESSy COVID-19"
"Austria","AT","deaths","2021-37",86,"TESSy COVID-19"
"Austria","AT","deaths","2021-38",73,"TESSy COVID-19"
"Austria","AT","deaths","2021-39",80,"TESSy COVID-19"
"Austria","AT","deaths","2021-40",73,"TESSy COVID-19"
"Austria","AT","deaths","2021-41",106,"TESSy COVID-19"
"Austria","AT","deaths","2021-42",112,"TESSy COVID-19"
"Austria","AT","deaths","2021-43",141,"TESSy COVID-19"
"Austria","AT","deaths","2021-44",208,"TESSy COVID-19"
"Austria","AT","deaths","2021-45",334,"TESSy COVID-19"
"Austria","AT","deaths","2021-46",395,"TESSy COVID-19"
"Austria","AT","deaths","2021-47",481,"TESSy COVID-19"
"Austria","AT","deaths","2021-48",480,"TESSy COVID-19"
"Austria","AT","deaths","2021-49",406,"TESSy COVID-19"
"Austria","AT","deaths","2021-50",281,"TESSy COVID-19"
"Austria","AT","deaths","2021-51",172,"TESSy COVID-19"
"Austria","AT","deaths","2021-52",128,"TESSy COVID-19"
"Austria","AT","deaths","2022-01",91,"TESSy COVID-19"
"Austria","AT","deaths","2022-02",69,"TESSy COVID-19"
"Austria","AT","deaths","2022-03",80,"TESSy COVID-19"
"Austria","AT","deaths","2022-04",109,"TESSy COVID-19"
"Austria","AT","deaths","2022-05",141,"TESSy COVID-19"
"Austria","AT","deaths","2022-06",181,"TESSy COVID-19"
"Austria","AT","deaths","2022-07",197,"TESSy COVID-19"
"Austria","AT","deaths","2022-08",219,"TESSy COVID-19"
"Austria","AT","deaths","2022-09",221,"TESSy COVID-19"
"Austria","AT","deaths","2022-10",195,"TESSy COVID-19"
"Austria","AT","deaths","2022-11",239,"TESSy COVID-19"
"Austria","AT","deaths","2022-12",290,"TESSy COVID-19"
"Austria","AT","deaths","2022-13",285,"TESSy COVID-19"
"Austria","AT","deaths","2022-14",216,"TESSy COVID-19"
"Austria","AT","deaths","2022-15",162,"TESSy COVID-19"
"Austria","AT","deaths","2022-16",129,"TESSy COVID-19"
"Austria","AT","deaths","2022-17",91,"TESSy COVID-19"
"Austria","AT","deaths","2022-18",80,"TESSy COVID-19"
"Austria","AT","deaths","2022-19",42,"TESSy COVID-19"
"Austria","AT","deaths","2022-20",36,"TESSy COVID-19"
"Austria","AT","deaths","2022-21",33,"TESSy COVID-19"
"Austria","AT","deaths","2022-22",24,"TESSy COVID-19"
"Austria","AT","deaths","2022-23",24,"TESSy COVID-19"
"Austria","AT","deaths","2022-24",28,"TESSy COVID-19"
"Austria","AT","deaths","2022-25",38,"TESSy COVID-19"
"Austria","AT","deaths","2022-26",49,"TESSy COVID-19"
"Austria","AT","deaths","2022-27",68,"TESSy COVID-19"
"Austria","AT","deaths","2022-28",61,"TESSy COVID-19"
"Austria","AT","deaths","2022-29",96,"TESSy COVID-19"
"Austria","AT","deaths","2022-30",103,"TESSy COVID-19"
"Austria","AT","deaths","2022-31",68,"TESSy COVID-19"
"Austria","AT","deaths","2022-32",71,"TESSy COVID-19"
"Austria","AT","deaths","2022-33",62,"TESSy COVID-19"
"Austria","AT","deaths","2022-34",53,"TESSy COVID-19"
"Austria","AT","deaths","2022-35",38,"TESSy COVID-19"
"Austria","AT","deaths","2022-36",47,"TESSy COVID-19"
"Austria","AT","deaths","2022-37",30,"TESSy COVID-19"
"Austria","AT","deaths","2022-38",38,"TESSy COVID-19"
"Austria","AT","deaths","2022-39",47,"TESSy COVID-19"
"Austria","AT","deaths","2022-40",103,"TESSy COVID-19"
"Austria","AT","deaths","2022-41",87,"TESSy COVID-19"
"Austria","AT","deaths","2022-42",79,"TESSy COVID-19"
"Austria","AT","deaths","2022-43",76,"TESSy COVID-19"
"Austria","AT","deaths","2022-44",52,"TESSy COVID-19"
"Austria","AT","deaths","2022-45",53,"TESSy COVID-19"
"Austria","AT","deaths","2022-46",55,"TESSy COVID-19"
"Austria","AT","deaths","2022-47",43,"TESSy COVID-19"
"Austria","AT","deaths","2022-48",53,"TESSy COVID-19"
"Austria","AT","deaths","2022-49",42,"TESSy COVID-19"
"Austria","AT","deaths","2022-50",58,"TESSy COVID-19"
"Austria","AT","deaths","2022-51",73,"TESSy COVID-19"
"Austria","AT","deaths","2022-52",77,"TESSy COVID-19"
"Austria","AT","deaths","2023-01",64,"TESSy COVID-19"
"Austria","AT","deaths","2023-02",54,"TESSy COVID-19"
"Austria","AT","deaths","2023-03",45,"TESSy COVID-19"
"Austria","AT","deaths","2023-04",48,"TESSy COVID-19"
"Austria","AT","deaths","2023-05",47,"TESSy COVID-19"
"Austria","AT","deaths","2023-06",37,"TESSy COVID-19"
"Austria","AT","deaths","2023-07",35,"TESSy COVID-19"
"Austria","AT","deaths","2023-08",59,"TESSy COVID-19"
"Austria","AT","deaths","2023-09",64,"TESSy COVID-19"
"Austria","AT","deaths","2023-10",60,"TESSy COVID-19"
"Austria","AT","deaths","2023-11",56,"TESSy COVID-19"
"Austria","AT","deaths","2023-12",50,"TESSy COVID-19"
"Austria","AT","deaths","2023-13",45,"TESSy COVID-19"
"Austria","AT","deaths","2023-14",31,"TESSy COVID-19"
"Austria","AT","deaths","2023-15",31,"TESSy COVID-19"
"Austria","AT","deaths","2023-16",38,"TESSy COVID-19"
"Austria","AT","deaths","2023-17",24,"TESSy COVID-19"
"Austria","AT","deaths","2023-18",22,"TESSy COVID-19"
"Austria","AT","deaths","2023-19",11,"TESSy COVID-19"
"Austria","AT","deaths","2023-20",14,"TESSy COVID-19"
"Austria","AT","deaths","2023-21",10,"TESSy COVID-19"
"Austria","AT","deaths","2023-22",9,"TESSy COVID-19"
"Austria","AT","deaths","2023-23",7,"TESSy COVID-19"
"Austria","AT","deaths","2023-24",5,"TESSy COVID-19"
"Austria","AT","deaths","2023-25",5,"TESSy COVID-19"
"Austria","AT","deaths","2023-26",NA,"TESSy COVID-19"
"Austria","AT","deaths","2023-27",NA,"TESSy COVID-19"
"Austria","AT","deaths","2023-28",NA,"TESSy COVID-19"
"Austria","AT","deaths","2023-29",NA,"TESSy COVID-19"
"Austria","AT","deaths","2023-30",NA,"TESSy COVID-19"
"Austria","AT","deaths","2023-31",NA,"TESSy COVID-19"
"Austria","AT","deaths","2023-32",NA,"TESSy COVID-19"
"Austria","AT","deaths","2023-33",NA,"TESSy COVID-19"
"Austria","AT","deaths","2023-34",NA,"TESSy COVID-19"
"Austria","AT","deaths","2023-35",NA,"TESSy COVID-19"
"Austria","AT","deaths","2023-36",NA,"TESSy COVID-19"
"Austria","AT","deaths","2023-37",NA,"TESSy COVID-19"
"Austria","AT","deaths","2023-38",NA,"TESSy COVID-19"
"Austria","AT","deaths","2023-39",NA,"TESSy COVID-19"
"Belgium","BE","cases","2020-01",NA,"TESSy COVID-19"
"Belgium","BE","cases","2020-02",NA,"TESSy COVID-19"
"Belgium","BE","cases","2020-03",NA,"TESSy COVID-19"
"Belgium","BE","cases","2020-04",NA,"TESSy COVID-19"
"Belgium","BE","cases","2020-05",2,"TESSy COVID-19"
"Belgium","BE","cases","2020-06",0,"TESSy COVID-19"
"Belgium","BE","cases","2020-07",0,"TESSy COVID-19"
"Belgium","BE","cases","2020-08",0,"TESSy COVID-19"
"Belgium","BE","cases","2020-09",0,"TESSy COVID-19"
"Belgium","BE","cases","2020-10",0,"TESSy COVID-19"
"Belgium","BE","cases","2020-11",3678,"TESSy COVID-19"
"Belgium","BE","cases","2020-12",3673,"TESSy COVID-19"
"Belgium","BE","cases","2020-13",8130,"TESSy COVID-19"
"Belgium","BE","cases","2020-14",9694,"TESSy COVID-19"
"Belgium","BE","cases","2020-15",11175,"TESSy COVID-19"
"Belgium","BE","cases","2020-16",7963,"TESSy COVID-19"
"Belgium","BE","cases","2020-17",5703,"TESSy COVID-19"
"Belgium","BE","cases","2020-18",3095,"TESSy COVID-19"
"Belgium","BE","cases","2020-19",3051,"TESSy COVID-19"
"Belgium","BE","cases","2020-20",2071,"TESSy COVID-19"
"Belgium","BE","cases","2020-21",1510,"TESSy COVID-19"
"Belgium","BE","cases","2020-22",1144,"TESSy COVID-19"
"Belgium","BE","cases","2020-23",847,"TESSy COVID-19"
"Belgium","BE","cases","2020-24",671,"TESSy COVID-19"
"Belgium","BE","cases","2020-25",668,"TESSy COVID-19"
